DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
2022-01-03,INDEX,35585.2,36492.1,35526.6,36421.9,36421.9,36421.9,0,0,0,0,0,0,NIFTYBANK
2022-01-04,INDEX,36551.25,36887.8,36374.4,36840.15,36840.15,36840.15,0,0,0,0,0,0,NIFTYBANK
2022-01-05,INDEX,36943.55,37862.4,36756.35,37695.9,37695.9,37695.9,0,0,0,0,0,0,NIFTYBANK
2022-01-06,INDEX,37242.55,37752.5,37058.45,37490.25,37490.25,37490.25,0,0,0,0,0,0,NIFTYBANK
2022-01-07,INDEX,37667.05,38134.85,37427.8,37739.6,37739.6,37739.6,0,0,0,0,0,0,NIFTYBANK
2022-01-10,INDEX,37930.55,38400.35,37929.35,38347.9,38347.9,38347.9,0,0,0,0,0,0,NIFTYBANK
2022-01-11,INDEX,38370.0,38504.6,38031.75,38442.2,38442.2,38442.2,0,0,0,0,0,0,NIFTYBANK
2022-01-12,INDEX,38719.6,38851.45,38604.6,38727.55,38727.55,38727.55,0,0,0,0,0,0,NIFTYBANK
2022-01-13,INDEX,38717.55,38717.55,38376.15,38469.95,38469.95,38469.95,0,0,0,0,0,0,NIFTYBANK
2022-01-14,INDEX,38302.35,38448.05,38007.75,38370.4,38370.4,38370.4,0,0,0,0,0,0,NIFTYBANK
2022-01-17,INDEX,38212.55,38617.5,38138.25,38216.15,38216.15,38216.15,0,0,0,0,0,0,NIFTYBANK
2022-01-18,INDEX,38337.4,38855.55,38095.4,38210.3,38210.3,38210.3,0,0,0,0,0,0,NIFTYBANK
2022-01-19,INDEX,38145.75,38330.5,37769.25,38041.35,38041.35,38041.35,0,0,0,0,0,0,NIFTYBANK
2022-01-20,INDEX,38106.1,38167.95,37591.85,37850.85,37850.85,37850.85,0,0,0,0,0,0,NIFTYBANK
2022-01-21,INDEX,37522.35,37741.0,37224.25,37574.3,37574.3,37574.3,0,0,0,0,0,0,NIFTYBANK
2022-01-24,INDEX,37601.95,37694.7,36375.35,36947.55,36947.55,36947.55,0,0,0,0,0,0,NIFTYBANK
2022-01-25,INDEX,36598.05,37788.8,36415.6,37706.75,37706.75,37706.75,0,0,0,0,0,0,NIFTYBANK
2022-01-27,INDEX,37058.2,38147.65,37012.25,37982.1,37982.1,37982.1,0,0,0,0,0,0,NIFTYBANK
2022-01-28,INDEX,38246.6,38421.7,37581.5,37689.4,37689.4,37689.4,0,0,0,0,0,0,NIFTYBANK
2022-01-31,INDEX,38091.8,38217.25,37647.85,37975.35,37975.35,37975.35,0,0,0,0,0,0,NIFTYBANK
2022-02-01,INDEX,38460.45,38802.7,37690.6,38505.5,38505.5,38505.5,0,0,0,0,0,0,NIFTYBANK
2022-02-02,INDEX,38841.55,39386.6,38752.65,39330.5,39330.5,39330.5,0,0,0,0,0,0,NIFTYBANK
2022-02-03,INDEX,39255.7,39424.85,38861.15,39010.0,39010.0,39010.0,0,0,0,0,0,0,NIFTYBANK
2022-02-04,INDEX,39128.0,39278.6,38562.6,38789.35,38789.35,38789.35,0,0,0,0,0,0,NIFTYBANK
2022-02-07,INDEX,38592.05,38837.55,37802.7,37995.45,37995.45,37995.45,0,0,0,0,0,0,NIFTYBANK
2022-02-08,INDEX,38176.1,38222.1,37319.05,38028.45,38028.45,38028.45,0,0,0,0,0,0,NIFTYBANK
2022-02-09,INDEX,38283.6,38648.15,38192.0,38610.25,38610.25,38610.25,0,0,0,0,0,0,NIFTYBANK
2022-02-10,INDEX,38801.45,39197.2,38520.0,39010.95,39010.95,39010.95,0,0,0,0,0,0,NIFTYBANK
2022-02-11,INDEX,38567.65,38790.25,38396.4,38517.25,38517.25,38517.25,0,0,0,0,0,0,NIFTYBANK
2022-02-14,INDEX,37664.0,37796.55,36828.05,36908.55,36908.55,36908.55,0,0,0,0,0,0,NIFTYBANK
2022-02-15,INDEX,36989.8,38231.6,36651.85,38170.1,38170.1,38170.1,0,0,0,0,0,0,NIFTYBANK
2022-02-16,INDEX,38296.5,38461.7,37762.8,37953.8,37953.8,37953.8,0,0,0,0,0,0,NIFTYBANK
2022-02-17,INDEX,38042.1,38124.5,37425.6,37531.65,37531.65,37531.65,0,0,0,0,0,0,NIFTYBANK
2022-02-18,INDEX,37344.45,37817.55,37304.45,37599.15,37599.15,37599.15,0,0,0,0,0,0,NIFTYBANK
2022-02-21,INDEX,37400.0,38054.4,37156.8,37685.6,37685.6,37685.6,0,0,0,0,0,0,NIFTYBANK
2022-02-22,INDEX,36833.0,37659.4,36818.1,37371.65,37371.65,37371.65,0,0,0,0,0,0,NIFTYBANK
2022-02-23,INDEX,37628.55,37774.6,37318.0,37392.05,37392.05,37392.05,0,0,0,0,0,0,NIFTYBANK
2022-02-24,INDEX,36085.2,36709.15,34991.35,35228.1,35228.1,35228.1,0,0,0,0,0,0,NIFTYBANK
2022-02-25,INDEX,35901.7,36684.65,35768.2,36430.75,36430.75,36430.75,0,0,0,0,0,0,NIFTYBANK
2022-02-28,INDEX,35938.95,36270.25,35611.9,36205.3,36205.3,36205.3,0,0,0,0,0,0,NIFTYBANK
2022-03-02,INDEX,35381.9,35553.7,34897.45,35372.8,35372.8,35372.8,0,0,0,0,0,0,NIFTYBANK
2022-03-03,INDEX,35621.15,35804.15,34721.15,34944.3,34944.3,34944.3,0,0,0,0,0,0,NIFTYBANK
2022-03-04,INDEX,34526.1,35097.75,34094.1,34407.8,34407.8,34407.8,0,0,0,0,0,0,NIFTYBANK
