DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL
2024-01-25,2024-01-25,CE,80.0,0.6,1.05,0.05,0.2,0.05,80.05,12420000,7500,9981.17,1747500.0,-735000.0,IDFCFIRSTB
2024-01-24,2024-01-25,CE,80.0,1.8,2.4,0.5,0.6,0.6,0.6,11505000,7500,9320.41,2482500.0,1275000.0,IDFCFIRSTB
2024-01-23,2024-01-25,CE,80.0,3.5,5.15,1.7,2.1,2.15,2.1,5272500,7500,4362.51,1207500.0,195000.0,IDFCFIRSTB
2024-01-20,2024-01-25,CE,80.0,6.1,8.25,5.65,8.1,8.1,8.1,712500,7500,618.06,1012500.0,-165000.0,IDFCFIRSTB
2024-01-19,2024-01-25,CE,80.0,7.1,7.15,5.3,6.05,6.15,6.05,667500,7500,573.94,1177500.0,240000.0,IDFCFIRSTB
2024-01-18,2024-01-25,CE,80.0,6.5,7.45,5.35,7.05,7.05,7.05,630000,7500,542.63,937500.0,-150000.0,IDFCFIRSTB
2024-01-17,2024-01-25,CE,80.0,9.1,9.7,5.8,5.95,6.0,5.95,570000,7500,496.95,1087500.0,37500.0,IDFCFIRSTB
2024-01-16,2024-01-25,CE,80.0,7.5,9.95,7.5,8.75,8.75,8.75,952500,7500,847.55,1050000.0,-427500.0,IDFCFIRSTB
2024-01-15,2024-01-25,CE,80.0,7.95,8.05,6.95,7.0,7.0,7.0,322500,7500,281.17,1477500.0,-90000.0,IDFCFIRSTB
2024-01-12,2024-01-25,CE,80.0,6.8,8.55,6.7,7.5,7.45,7.5,547500,7500,480.13,1567500.0,-165000.0,IDFCFIRSTB
2024-01-11,2024-01-25,CE,80.0,5.15,7.5,5.0,7.35,7.3,7.35,1680000,7500,1445.16,1732500.0,-225000.0,IDFCFIRSTB
2024-01-10,2024-01-25,CE,80.0,4.5,4.85,3.8,4.75,4.8,4.75,3517500,7500,2968.82,1957500.0,142500.0,IDFCFIRSTB
2024-01-09,2024-01-25,CE,80.0,6.95,7.2,4.9,5.0,5.05,5.0,1350000,7500,1153.17,1815000.0,172500.0,IDFCFIRSTB
2024-01-08,2024-01-25,CE,80.0,7.1,7.25,5.9,6.1,6.15,6.1,412500,7500,356.4,1642500.0,82500.0,IDFCFIRSTB
2024-01-05,2024-01-25,CE,80.0,8.3,8.3,6.8,7.45,7.35,7.45,262500,7500,230.16,1560000.0,-37500.0,IDFCFIRSTB
2024-01-04,2024-01-25,CE,80.0,8.0,8.1,7.6,8.05,8.05,8.05,330000,7500,289.82,1597500.0,120000.0,IDFCFIRSTB
2024-01-03,2024-01-25,CE,80.0,6.15,7.85,5.9,7.35,7.2,7.35,960000,7500,836.58,1477500.0,97500.0,IDFCFIRSTB
2024-01-02,2024-01-25,CE,80.0,8.6,8.6,6.85,7.05,6.9,7.05,1170000,7500,1022.8,1380000.0,-22500.0,IDFCFIRSTB
2024-01-01,2024-01-25,CE,80.0,9.2,9.4,8.8,9.0,8.8,9.0,315000,7500,280.88,1402500.0,120000.0,IDFCFIRSTB
