DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
2022-01-03,EQ,48.8,50.0,48.25,48.35,49.55,49.65,49.4,33785136,1668974528.75,56535,10038133,29.71,IDFCFIRSTB
2022-01-04,EQ,49.65,50.1,48.6,49.65,49.4,49.3,49.38,30079665,1485344703.85,41905,8195549,27.25,IDFCFIRSTB
2022-01-05,EQ,49.2,50.35,48.85,49.3,49.75,49.8,49.62,29817214,1479578029.65,43013,8499665,28.51,IDFCFIRSTB
2022-01-06,EQ,49.5,50.25,48.7,49.8,49.75,49.8,49.45,21692204,1072681441.5,36832,5255994,24.23,IDFCFIRSTB
2022-01-07,EQ,50.0,50.25,49.0,49.8,49.25,49.2,49.49,22329620,1105185055.1,34097,6024644,26.98,IDFCFIRSTB
2022-01-10,EQ,49.4,50.25,49.2,49.2,49.8,49.8,49.76,22812760,1135232228.2,33899,7720192,33.84,IDFCFIRSTB
2022-01-11,EQ,50.0,50.6,49.1,49.8,49.35,49.3,49.68,24714529,1227904620.0,38687,6423125,25.99,IDFCFIRSTB
2022-01-12,EQ,49.65,49.85,49.15,49.3,49.4,49.5,49.5,21733382,1075700948.15,32953,8618525,39.66,IDFCFIRSTB
2022-01-13,EQ,49.5,49.95,48.9,49.5,49.6,49.8,49.56,19992641,990782267.1,28797,6225714,31.14,IDFCFIRSTB
2022-01-14,EQ,49.3,50.15,49.05,49.8,49.05,49.2,49.42,15892843,785397285.05,27788,4765285,29.98,IDFCFIRSTB
2022-01-17,EQ,49.2,49.75,48.9,49.2,49.15,49.0,49.19,19823854,975208907.0,31703,8012158,40.42,IDFCFIRSTB
2022-01-18,EQ,49.4,49.6,47.6,49.0,47.7,47.75,48.69,22624694,1101660948.75,34904,7049568,31.16,IDFCFIRSTB
2022-01-19,EQ,47.75,49.15,47.1,47.75,48.8,48.95,48.25,23614427,1139513006.0,30161,5079024,21.51,IDFCFIRSTB
2022-01-20,EQ,48.8,48.9,47.45,48.95,47.85,47.75,48.1,23702927,1140167301.6,37560,9274975,39.13,IDFCFIRSTB
2022-01-21,EQ,47.65,47.8,46.2,47.75,46.8,46.7,46.92,23898789,1121399721.2,41074,7847609,32.84,IDFCFIRSTB
2022-01-24,EQ,46.6,47.0,44.1,46.7,44.6,44.55,45.27,31463513,1424323956.55,61938,11207955,35.62,IDFCFIRSTB
2022-01-25,EQ,44.0,45.7,43.95,44.55,45.2,45.2,45.17,40380942,1823807317.95,53458,15658063,38.78,IDFCFIRSTB
2022-01-27,EQ,45.1,46.4,44.4,45.2,46.25,45.95,45.28,36296339,1643332607.8,50091,11703373,32.24,IDFCFIRSTB
2022-01-28,EQ,46.45,47.5,46.35,45.95,46.55,46.6,46.95,28061964,1317517888.05,36851,8167748,29.11,IDFCFIRSTB
2022-01-31,EQ,48.0,48.2,46.6,46.6,46.9,46.75,47.21,39701559,1874463644.0,57156,10388299,26.17,IDFCFIRSTB
2022-02-01,EQ,47.4,47.7,46.6,46.75,47.45,47.45,47.31,24779484,1172248562.6,35296,5216803,21.05,IDFCFIRSTB
2022-02-02,EQ,47.6,49.45,47.55,47.45,49.3,49.3,48.76,34108644,1662971305.75,47953,11982567,35.13,IDFCFIRSTB
2022-02-03,EQ,49.3,49.4,48.2,49.3,48.3,48.4,48.76,19239520,938189572.1,31676,5373007,27.93,IDFCFIRSTB
2022-02-04,EQ,48.4,48.7,47.6,48.4,47.8,47.9,48.1,17505548,841951450.9,25819,4632971,26.47,IDFCFIRSTB
2022-02-07,EQ,47.9,48.15,46.6,47.9,47.1,47.1,47.38,16712886,791792596.1,30898,3946845,23.62,IDFCFIRSTB
2022-02-08,EQ,47.2,47.45,45.9,47.1,46.6,46.75,46.56,19087389,888694629.9,31188,4416701,23.14,IDFCFIRSTB
2022-02-09,EQ,47.05,47.4,46.65,46.75,47.05,47.1,47.01,9817874,461528608.65,18455,2805506,28.58,IDFCFIRSTB
2022-02-10,EQ,47.3,47.8,46.75,47.1,47.2,47.25,47.31,12999351,615013675.9,25116,2971866,22.86,IDFCFIRSTB
2022-02-11,EQ,47.0,47.4,46.35,47.25,46.4,46.45,46.74,18679632,873018505.4,24781,6288823,33.67,IDFCFIRSTB
2022-02-14,EQ,45.25,46.05,43.55,46.45,43.6,43.8,44.46,35904564,1596409681.0,74657,12715866,35.42,IDFCFIRSTB
2022-02-15,EQ,44.25,45.6,42.9,43.8,45.4,45.4,44.03,28996531,1276760809.8,52946,7485493,25.82,IDFCFIRSTB
2022-02-16,EQ,45.7,46.15,45.1,45.4,45.2,45.35,45.72,22441769,1026126075.75,29501,4657948,20.76,IDFCFIRSTB
2022-02-17,EQ,45.4,45.7,44.55,45.35,44.65,44.7,44.95,19292985,867166704.55,26724,3689303,19.12,IDFCFIRSTB
2022-02-18,EQ,44.45,45.2,44.3,44.7,44.4,44.4,44.68,13086363,584701848.15,21065,3090767,23.62,IDFCFIRSTB
2022-02-21,EQ,44.3,44.95,43.7,44.4,43.9,43.9,44.2,17138792,757481347.35,27587,3599139,21.0,IDFCFIRSTB
2022-02-22,EQ,42.75,43.4,42.4,43.9,43.35,43.3,42.93,20368031,874441931.6,40133,4813182,23.63,IDFCFIRSTB
2022-02-23,EQ,43.75,44.1,43.05,43.3,43.2,43.3,43.67,14895156,650543526.3,25961,4268993,28.66,IDFCFIRSTB
2022-02-24,EQ,42.3,42.7,37.6,43.3,39.4,38.9,40.23,62863486,2528734386.25,116716,25144265,40.0,IDFCFIRSTB
2022-02-25,EQ,40.8,43.05,40.1,38.9,42.25,42.05,41.99,46794549,1964810857.05,64783,12689813,27.12,IDFCFIRSTB
2022-02-28,EQ,41.5,42.6,41.1,42.05,42.0,42.1,41.9,33337507,1396980257.2,49382,11069161,33.2,IDFCFIRSTB
2022-03-02,EQ,41.75,42.25,41.15,42.1,42.15,41.95,41.75,21825831,911140533.15,55467,7518192,34.45,IDFCFIRSTB
2022-03-03,EQ,42.45,42.8,41.3,41.95,41.55,41.6,42.05,20381783,856956926.35,34049,5052335,24.79,IDFCFIRSTB
2022-03-04,EQ,41.25,41.55,40.55,41.6,40.8,40.75,40.99,30141333,1235352316.4,61953,9002840,29.87,IDFCFIRSTB
2022-03-07,EQ,40.0,40.35,39.0,40.75,40.3,40.1,39.66,31831228,1262389883.65,63576,10447111,32.82,IDFCFIRSTB
2022-03-08,EQ,40.5,41.25,39.55,40.1,40.85,40.6,40.41,31172979,1259626509.5,55176,7281478,23.36,IDFCFIRSTB
2022-03-09,EQ,41.25,42.25,40.75,40.6,42.15,42.05,41.43,29175048,1208579492.7,36532,9773637,33.5,IDFCFIRSTB
2022-03-10,EQ,42.95,43.55,42.0,42.05,42.15,42.3,42.84,27727480,1187891830.45,40825,6543157,23.6,IDFCFIRSTB
2022-03-11,EQ,42.1,42.7,41.65,42.3,42.35,42.4,42.2,20037602,845667815.55,26906,3307005,16.5,IDFCFIRSTB
2022-03-14,EQ,42.4,42.55,41.35,42.4,42.0,41.9,41.83,19612107,820294332.15,27226,4786386,24.41,IDFCFIRSTB
2022-03-15,EQ,42.1,42.45,40.4,41.9,40.65,40.7,41.49,27719716,1149995837.1,34474,8433834,30.43,IDFCFIRSTB
2022-03-16,EQ,41.65,42.2,41.1,40.7,42.05,42.0,41.58,21472059,892879542.85,32513,6792003,31.63,IDFCFIRSTB
2022-03-17,EQ,42.6,42.95,42.45,42.0,42.7,42.7,42.69,29552261,1261591541.7,34401,10228185,34.61,IDFCFIRSTB
2022-03-21,EQ,42.8,43.2,41.75,42.7,41.9,41.85,42.28,18721207,791615337.35,29049,6306953,33.69,IDFCFIRSTB
2022-03-22,EQ,41.9,42.0,40.3,41.85,40.9,40.6,40.75,52099992,2122937792.75,65078,25736559,49.4,IDFCFIRSTB
2022-03-23,EQ,41.1,41.3,40.45,40.6,40.7,40.75,40.79,67093172,2736806383.1,57356,34562220,51.51,IDFCFIRSTB
2022-03-24,EQ,40.8,41.0,39.9,40.75,40.1,40.05,40.28,71458804,2878543824.4,78295,37831188,52.94,IDFCFIRSTB
2022-03-25,EQ,40.4,40.4,39.7,40.05,39.95,39.8,39.97,55560089,2220939688.7,53808,26572266,47.83,IDFCFIRSTB
2022-03-28,EQ,39.9,40.0,38.2,39.8,38.5,38.45,38.74,63705552,2468218000.25,75765,29181265,45.81,IDFCFIRSTB
2022-03-29,EQ,38.75,39.0,37.7,38.45,37.85,37.9,38.12,53429939,2036949961.4,61536,26018676,48.7,IDFCFIRSTB
2022-03-30,EQ,38.35,40.15,38.15,37.9,38.85,38.85,39.08,141628657,5534791489.95,99631,51988702,36.71,IDFCFIRSTB
2022-03-31,EQ,39.2,39.85,38.75,38.85,39.55,39.7,39.34,44162139,1737507493.8,46504,13182937,29.85,IDFCFIRSTB
2022-04-01,EQ,39.65,41.85,39.45,39.7,41.75,41.7,41.27,67257615,2775707832.25,75412,22540518,33.51,IDFCFIRSTB
2022-04-04,EQ,42.5,44.0,41.75,41.7,43.6,43.65,43.02,78587513,3380663125.75,92485,26001798,33.09,IDFCFIRSTB
2022-04-05,EQ,43.8,44.2,43.1,43.65,43.35,43.4,43.65,43259401,1888251897.35,53508,10947568,25.31,IDFCFIRSTB
2022-04-06,EQ,43.4,43.85,42.75,43.4,43.25,43.45,43.3,30891862,1337670829.45,38877,8200766,26.55,IDFCFIRSTB
2022-04-07,EQ,43.5,43.6,42.25,43.45,42.45,42.45,42.87,37420483,1604305143.85,61025,12531917,33.49,IDFCFIRSTB
2022-04-08,EQ,42.65,42.75,41.4,42.45,41.95,41.9,42.01,34130747,1433869500.6,45620,12751337,37.36,IDFCFIRSTB
2022-04-11,EQ,41.9,42.9,41.7,41.9,42.4,42.4,42.45,20616203,875160589.7,32287,5770709,27.99,IDFCFIRSTB
2022-04-12,EQ,42.4,42.4,40.95,42.4,41.6,41.6,41.45,28215022,1169417421.0,46615,8694261,30.81,IDFCFIRSTB
2022-04-13,EQ,41.7,42.2,41.25,41.6,41.45,41.35,41.74,22740460,949130514.8,33163,6105619,26.85,IDFCFIRSTB
2022-04-18,EQ,41.3,41.3,40.25,41.35,40.85,40.8,40.72,22837815,929964884.5,42201,6987358,30.6,IDFCFIRSTB
2022-04-19,EQ,41.15,41.2,39.55,40.8,39.85,40.05,40.55,23673024,959964093.45,49676,9231959,39.0,IDFCFIRSTB
2022-04-20,EQ,40.2,40.45,39.7,40.05,40.2,40.1,40.05,22275704,892193104.3,36489,7258047,32.58,IDFCFIRSTB
2022-04-21,EQ,40.35,40.95,40.2,40.1,40.85,40.85,40.62,14493850,588728294.95,27696,5031735,34.72,IDFCFIRSTB
2022-04-22,EQ,40.6,40.9,39.95,40.85,40.1,40.05,40.47,19026852,770002522.35,38473,6839181,35.94,IDFCFIRSTB
2022-04-25,EQ,39.8,39.95,39.15,40.05,39.35,39.3,39.45,23357268,921397303.8,43799,8722679,37.34,IDFCFIRSTB
2022-04-26,EQ,39.8,40.3,39.65,39.3,40.25,40.15,39.94,14193121,566869975.65,24638,4833229,34.05,IDFCFIRSTB
2022-04-27,EQ,39.9,40.1,39.3,40.15,39.7,39.7,39.7,14373185,570665441.6,30310,4476114,31.14,IDFCFIRSTB
2022-04-28,EQ,39.9,40.0,39.2,39.7,39.85,39.7,39.53,20090339,794216173.75,30020,7620416,37.93,IDFCFIRSTB
2022-04-29,EQ,39.9,40.5,39.3,39.7,39.45,39.5,40.07,24604133,985784280.55,32047,8496939,34.53,IDFCFIRSTB
2022-05-02,EQ,39.7,40.65,38.3,39.5,38.85,38.85,39.27,53519580,2101709401.25,73046,20500419,38.3,IDFCFIRSTB
2022-05-04,EQ,39.35,40.8,38.1,38.85,38.55,38.4,39.54,58386315,2308834399.8,80622,15491210,26.53,IDFCFIRSTB
2022-05-05,EQ,39.15,40.45,38.9,38.4,39.15,39.2,39.64,37944639,1503937594.9,48484,8288361,21.84,IDFCFIRSTB
2022-05-06,EQ,38.45,39.2,37.85,39.2,38.75,38.65,38.56,27614742,1064899155.65,41202,6530426,23.65,IDFCFIRSTB
2022-05-09,EQ,38.6,38.65,37.5,38.65,38.05,37.95,37.92,26623742,1009628944.65,48720,7572536,28.44,IDFCFIRSTB
2022-05-10,EQ,38.15,38.75,37.3,37.95,37.45,37.5,37.95,21250096,806541686.85,42086,6349576,29.88,IDFCFIRSTB
2022-05-11,EQ,37.95,37.95,35.55,37.5,36.8,36.75,36.6,38962535,1425933941.9,63728,10451152,26.82,IDFCFIRSTB
2022-05-12,EQ,36.4,36.45,34.2,36.75,34.9,34.8,35.03,47352639,1658946029.4,82301,16229331,34.27,IDFCFIRSTB
2022-05-13,EQ,35.5,35.85,34.45,34.8,34.65,34.55,35.21,34320610,1208432650.95,53570,9698780,28.26,IDFCFIRSTB
2022-05-16,EQ,35.15,36.0,34.4,34.55,35.9,35.8,35.42,31916991,1130422090.75,43909,8896648,27.87,IDFCFIRSTB
2022-05-17,EQ,35.9,37.05,35.6,35.8,37.0,36.75,36.23,21554073,780832114.3,37652,6213388,28.83,IDFCFIRSTB
2022-05-18,EQ,37.2,37.25,36.35,36.75,36.5,36.45,36.7,17961418,659244787.8,32543,4291426,23.89,IDFCFIRSTB
2022-05-19,EQ,35.55,35.75,34.9,36.45,35.1,35.0,35.21,22051388,776535910.55,39401,7568776,34.32,IDFCFIRSTB
2022-05-20,EQ,35.8,36.3,35.5,35.0,36.0,36.0,35.89,21572280,774212816.3,25551,7343688,34.04,IDFCFIRSTB
2022-05-23,EQ,36.3,36.6,35.45,36.0,35.65,35.65,36.02,26128934,941205149.35,35035,8943589,34.23,IDFCFIRSTB
2022-05-24,EQ,35.85,35.9,34.8,35.65,35.0,35.0,35.22,20678945,728352611.05,28815,6140639,29.7,IDFCFIRSTB
2022-05-25,EQ,35.3,35.35,33.6,35.0,33.75,33.9,34.37,23492970,807337612.8,55088,8388564,35.71,IDFCFIRSTB
2022-05-26,EQ,34.15,34.5,33.05,33.9,34.45,34.3,33.81,28499589,963485718.0,48729,8618978,30.24,IDFCFIRSTB
2022-05-27,EQ,34.8,35.7,34.7,34.3,35.45,35.6,35.38,21749000,769483250.95,31586,6758015,31.07,IDFCFIRSTB
2022-05-30,EQ,36.0,36.55,35.8,35.6,36.45,36.45,36.21,18430364,667291028.2,40819,7295230,39.58,IDFCFIRSTB
2022-05-31,EQ,36.4,37.0,36.05,36.45,36.05,36.3,36.55,17785455,650098323.9,44178,5863316,32.97,IDFCFIRSTB
2022-06-01,EQ,36.2,36.5,35.85,36.3,36.3,36.15,36.22,12958317,469400007.95,32715,3257782,25.14,IDFCFIRSTB
2022-06-02,EQ,36.15,36.45,36.0,36.15,36.3,36.3,36.21,11715930,424292081.9,19780,3233131,27.6,IDFCFIRSTB
2022-06-03,EQ,36.8,36.8,35.2,36.3,35.55,35.35,35.91,14834342,532724928.3,31329,4811785,32.44,IDFCFIRSTB
2022-06-06,EQ,35.5,35.65,34.65,35.35,35.2,35.1,35.05,13959696,489247502.35,26793,3639303,26.07,IDFCFIRSTB
